group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
catboost,elasticnet,3.0,13.6,10.6,8.873849897310638,True,4.006423413897808,0.41967229386878335
catboost,extra_trees,3.0,10.6,7.6,8.873849897310638,False,2.872529994870127,1.0
catboost,gpr,3.0,8.0,5.0,8.873849897310638,False,1.889822365046136,1.0
catboost,hist_gbr,3.0,5.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
catboost,knn,3.0,12.0,9.0,8.873849897310638,True,3.401680257083045,1.0
catboost,lightgbm,3.0,4.4,1.4000000000000004,8.873849897310638,False,0.5291502622129183,1.0
catboost,mlp,3.0,1.4,1.6,8.873849897310638,False,0.6047431568147635,1.0
catboost,mlp_deep,3.0,1.6,1.4,8.873849897310638,False,0.529150262212918,1.0
catboost,poly2_ridge,3.0,7.0,4.0,8.873849897310638,False,1.5118578920369088,1.0
catboost,random_forest,3.0,9.6,6.6,8.873849897310638,False,2.4945655218608995,1.0
catboost,ridge,3.0,13.4,10.4,8.873849897310638,True,3.930830519295963,0.49540234427343277
catboost,svr_rbf,3.0,9.8,6.800000000000001,8.873849897310638,False,2.5701584164627453,1.0
catboost,xgboost,3.0,5.6,2.5999999999999996,8.873849897310638,False,0.9827076298239906,1.0
elasticnet,extra_trees,13.6,10.6,3.0,8.873849897310638,False,1.1338934190276817,1.0
elasticnet,gpr,13.6,8.0,5.6,8.873849897310638,False,2.116601048851672,1.0
elasticnet,hist_gbr,13.6,5.0,8.6,8.873849897310638,False,3.2504944678793537,1.0
elasticnet,knn,13.6,12.0,1.5999999999999996,8.873849897310638,False,0.6047431568147634,1.0
elasticnet,lightgbm,13.6,4.4,9.2,8.873849897310638,True,3.4772731516848903,1.0
elasticnet,mlp,13.6,1.4,12.2,8.873849897310638,True,4.611166570712571,0.10117543220878567
elasticnet,mlp_deep,13.6,1.6,12.0,8.873849897310638,True,4.535573676110727,0.1219983416678776
elasticnet,poly2_ridge,13.6,7.0,6.6,8.873849897310638,False,2.4945655218608995,1.0
elasticnet,random_forest,13.6,9.6,4.0,8.873849897310638,False,1.5118578920369088,1.0
elasticnet,ridge,13.6,13.4,0.1999999999999993,8.873849897310638,False,0.07559289460184518,1.0
elasticnet,svr_rbf,13.6,9.8,3.799999999999999,8.873849897310638,False,1.436264997435063,1.0
elasticnet,xgboost,13.6,5.6,8.0,8.873849897310638,False,3.0237157840738176,1.0
extra_trees,gpr,10.6,8.0,2.5999999999999996,8.873849897310638,False,0.9827076298239906,1.0
extra_trees,hist_gbr,10.6,5.0,5.6,8.873849897310638,False,2.116601048851672,1.0
extra_trees,knn,10.6,12.0,1.4000000000000004,8.873849897310638,False,0.5291502622129183,1.0
extra_trees,lightgbm,10.6,4.4,6.199999999999999,8.873849897310638,False,2.3433797326572083,1.0
extra_trees,mlp,10.6,1.4,9.2,8.873849897310638,True,3.4772731516848903,1.0
extra_trees,mlp_deep,10.6,1.6,9.0,8.873849897310638,True,3.401680257083045,1.0
extra_trees,poly2_ridge,10.6,7.0,3.5999999999999996,8.873849897310638,False,1.3606721028332178,1.0
extra_trees,random_forest,10.6,9.6,1.0,8.873849897310638,False,0.3779644730092272,1.0
extra_trees,ridge,10.6,13.4,2.8000000000000007,8.873849897310638,False,1.0583005244258366,1.0
extra_trees,svr_rbf,10.6,9.8,0.7999999999999989,8.873849897310638,False,0.3023715784073814,1.0
extra_trees,xgboost,10.6,5.6,5.0,8.873849897310638,False,1.889822365046136,1.0
gpr,hist_gbr,8.0,5.0,3.0,8.873849897310638,False,1.1338934190276817,1.0
gpr,knn,8.0,12.0,4.0,8.873849897310638,False,1.5118578920369088,1.0
gpr,lightgbm,8.0,4.4,3.5999999999999996,8.873849897310638,False,1.3606721028332178,1.0
gpr,mlp,8.0,1.4,6.6,8.873849897310638,False,2.4945655218608995,1.0
gpr,mlp_deep,8.0,1.6,6.4,8.873849897310638,False,2.418972627259054,1.0
gpr,poly2_ridge,8.0,7.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
gpr,random_forest,8.0,9.6,1.5999999999999996,8.873849897310638,False,0.6047431568147634,1.0
gpr,ridge,8.0,13.4,5.4,8.873849897310638,False,2.041008154249827,1.0
gpr,svr_rbf,8.0,9.8,1.8000000000000007,8.873849897310638,False,0.6803360514166092,1.0
gpr,xgboost,8.0,5.6,2.4000000000000004,8.873849897310638,False,0.9071147352221455,1.0
hist_gbr,knn,5.0,12.0,7.0,8.873849897310638,False,2.6457513110645903,1.0
hist_gbr,lightgbm,5.0,4.4,0.5999999999999996,8.873849897310638,False,0.2267786838055362,1.0
hist_gbr,mlp,5.0,1.4,3.6,8.873849897310638,False,1.360672102833218,1.0
hist_gbr,mlp_deep,5.0,1.6,3.4,8.873849897310638,False,1.2850792082313724,1.0
hist_gbr,poly2_ridge,5.0,7.0,2.0,8.873849897310638,False,0.7559289460184544,1.0
hist_gbr,random_forest,5.0,9.6,4.6,8.873849897310638,False,1.7386365758424451,1.0
hist_gbr,ridge,5.0,13.4,8.4,8.873849897310638,False,3.1749015732775088,1.0
hist_gbr,svr_rbf,5.0,9.8,4.800000000000001,8.873849897310638,False,1.814229470444291,1.0
hist_gbr,xgboost,5.0,5.6,0.5999999999999996,8.873849897310638,False,0.2267786838055362,1.0
knn,lightgbm,12.0,4.4,7.6,8.873849897310638,False,2.872529994870127,1.0
